Name,Score,Rank,Popularity,Genres,Episodes,Start Date,End Date,Producers,Studios

Tensei shitara Slime Datta Ken 2nd Season Part 2,8.36,181,493,"Action, Adventure, Comedy, Demons, Fantasy, Magic",12,"Jul 6, 2021",?,"Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions",8bit
Kobayashi-san Chi no Maid Dragon S,8.42,142,566,"Slice of Life, Comedy, Fantasy",12,"Jul 8, 2021","Sep 23, 2021","Lantis, Heart Company",Kyoto Animation
"Tantei wa Mou, Shindeiru.",6.90,4148,765,"Comedy, Drama, Mystery, Romance",12,"Jul 4, 2021",?,"AT-X, Kadokawa Media House, Kadokawa, INCS toenter",ENGI
Vanitas no Karte,7.90,697,914,"Fantasy, Historical, Shounen, Supernatural, Vampire",12,"Jul 3, 2021",?,"Aniplex, Square Enix, Hakuhodo DY Music & Pictures, Contents Seed",Bones
Kanojo mo Kanojo,6.49,6137,936,"Harem, Comedy, Romance, School, Shounen",12,"Jul 3, 2021",?,"Half H.P Studio, NBCUniversal Entertainment Japan, Myrica Music",Tezuka Productions
Bokutachi no Remake,7.77,897,1013,"Slice of Life, Drama, Romance",12,"Jul 3, 2021",?,"Studio Mausu, bilibili, Bushiroad Music, DMM pictures, Front Wing, Bushiroad Move",feel.
Genjitsu Shugi Yuusha no Oukoku Saikenki,7.28,2462,1083,"Action, Fantasy, Harem, Magic, Military, Romance",13,"Jul 4, 2021",?,"Magic Bus, King Records",J.C.Staff
Seirei Gensouki,7.19,2887,1242,"Action, Adventure, Drama, Fantasy, Harem, Romance",12,"Jul 6, 2021",?,"Nippon Columbia, Kanon Sound, TMS Music",TMS Entertainment
Sonny Boy,7.60,1307,1279,"Sci-Fi, Mystery, Super Power",12,"Jul 16, 2021",?,Shochiku,Madhouse
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,7.51,1573,1285,"Harem, Comedy, Drama, Romance, Fantasy, School, Shoujo",12,"Jul 3, 2021",?,Nichion,SILVER LINK.
Jahy-sama wa Kujikenai!,7.22,2751,1303,"Comedy, Supernatural, Shounen",20,"Aug 1, 2021",?,"Square Enix, ABC Animation",SILVER LINK.
Tsuki ga Michibiku Isekai Douchuu,7.53,1508,1327,"Action, Adventure, Comedy, Fantasy",12,"Jul 7, 2021",?,Nichion,C2C
Shinigami Bocchan to Kuro Maid,7.26,2599,1449,"Comedy, Drama, Romance, Supernatural",12,"Jul 4, 2021",?,NBCUniversal Entertainment Japan,J.C.Staff
Shiroi Suna no Aquatope,7.50,1629,1545,Slice of Life,24,"Jul 9, 2021",?,"BS Fuji, Tokyo MX, Infinite, Forecast Communications, Kadokawa Media House, DMM pictures, Bandai Namco Arts, AQUA ARIS",P.A. Works
Peach Boy Riverside,6.59,5567,1553,"Fantasy, Shounen",12,"Jul 1, 2021",?,"VAP, Sotsu, Kodansha, KlockWorx, Tokyo MX, Toy's Factory, Exa International, BS NTV, AQUA ARIS, GREE Entertainment, A3, jeux d'eau, Toei Agency",Asahi Production
Megami-ryou no Ryoubo-kun.,6.71,4999,1693,"Comedy, Ecchi, Harem, Romance, Shounen",10,"Jul 14, 2021",?,"Media Factory, AT-X, Kadokawa Media House, Kadokawa",asread.
Heion Sedai no Idaten-tachi,7.59,1342,1728,"Action, Adventure, Demons, Fantasy, Seinen",11,"Jul 23, 2021",?,"Aniplex, Dentsu, Hakusensha, Fuji TV, GREE Entertainment",MAPPA
Uramichi Oniisan,7.59,1323,1753,"Comedy, Slice of Life",13,"Jul 6, 2021",?,"King Records, Bit grooove promotion",Studio Blanc
Mahouka Koukou no Yuutousei,6.69,5097,1759,"Fantasy, Magic, Sci-Fi",13,"Jul 3, 2021",?,Aniplex,Connect
Meikyuu Black Company,7.14,3139,1784,"Comedy, Fantasy",12,"Jul 9, 2021",?,"Toy's Factory, Jinnan Studio, Kadokawa",SILVER LINK.
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,7.03,3622,1892,"Action, Game, Drama, Fantasy, Shounen",12,"Jul 10, 2021",?,"None found, add some",Maho Film
Deatte 5-byou de Battle,7.23,2709,1894,"Action, Game, Super Power, Supernatural",Unknown,"Jul 13, 2021",?,"Shogakukan-Shueisha Productions, Studio A-CAT","SynergySP, Vega Entertainment"
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,6.12,7982,1990,"Comedy, Fantasy",12,"Jul 7, 2021",?,"None found, add some",EMT Squared
Re-Main,7.26,2597,2038,"Sports, School",12,"Jul 4, 2021",?,Bandai Namco Arts,MAPPA
Higurashi no Naku Koro ni Sotsu,7.83,798,2132,"Dementia, Horror, Mystery, Psychological, Supernatural, Thriller",15,"Jul 1, 2021",?,"None found, add some",Passione
Scarlet Nexus,6.10,8099,2303,"Action, Military, Sci-Fi, Super Power",Unknown,"Jul 1, 2021",?,Bandai Namco Arts,Sunrise
Kaizoku Oujo,7.66,1143,2350,"Action, Adventure",12,"Aug 14, 2021",?,"flying DOG, DMM pictures, Crunchyroll SC Anime Fund",Production I.G
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season - Kakusei Zenya,7.67,1134,2897,"Psychological, Drama, Magic, Thriller",8,"Aug 1, 2021","Sep 19, 2021","None found, add some",Shaft
Kageki Shoujo!!,7.46,1741,3012,"Drama, School, Shoujo",13,"Jul 4, 2021",?,"Hakusensha, King Records",Pine Jam
Love Live! Superstar!!,8.09,442,3068,"Music, Slice of Life, School",12,"Jul 11, 2021",?,"Kadokawa, Bandai Namco Arts",Sunrise
Night Head 2041,6.50,5982,3174,"Drama, Mystery, Psychological, Sci-Fi, Supernatural",Unknown,"Jul 15, 2021",?,"Fuji TV, Slow Curve, BS Fuji, Hakuhodo DY Media Partners, Office ENDLESS",Shirogumi
D_Cide Traumerei the Animation,5.63,9826,4245,"Action, Drama, Fantasy",Unknown,"Jul 10, 2021",?,"Bushiroad, Bit grooove promotion",SANZIGEN
Yubisaki kara Honki no Netsujou 2: Koibito wa Shouboushi,6.15,7868,3750,"Comedy, Romance, Ecchi",8,"Jul 8, 2019","Sep 2, 2019","Studio Mausu, Suiseisha",Studio Hokiboshi
"Ore, Tsushima",7.28,2488,4939,"Comedy, Seinen, Slice of Life",Unknown,"Jul 2, 2021",?,Asmik Ace,"Fanworks, Space Neko Company"
IDOLiSH7: Third Beat!,8.07,465,5246,"Drama, Music",13,"Jul 4, 2021",?,Lantis,TROYCA
Yami Shibai 9,6.10,8110,6509,"Dementia, Horror, Supernatural",Unknown,"Jul 12, 2021",?,"None found, add some","ILCA, DRAWIZ"
Tsukipro The Animation 2,6.25,7354,6727,Music,13,"Jul 7, 2021",?,AZ Creative,PRA
Getter Robo Arc,6.17,7771,7980,"Action, Sci-Fi, Mecha, Shounen",13,"Jul 4, 2021",?,"Lantis, Bandai Namco Arts","Bee Media, Studio A-CAT"
Pretty All Friends Selection,N/A,12477,10401,"Music, Slice of Life, Comedy, Magic, Shoujo",Unknown,"Jun 6, 2021",?,"None found, add some","None found, add some"
Xi Yangyang Yu Hui Tailang: Juezhan Ci Shidai,N/A,13772,16459,"Action, Comedy, Kids",60,"Jul 9, 2021",?,"None found, add some","None found, add some"
Kick & Slide,N/A,15960,16803,"Music, Kids",12,"Jul 7, 2021",?,TV Tokyo,"None found, add some"
One Piece,8.58,75,29,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",Unknown,"Oct 20, 1999",?,"Fuji TV, TAP, Shueisha",Toei Animation
Boku no Hero Academia 5th Season,7.53,1512,181,"Action, Comedy, Super Power, School, Shounen",25,"Mar 27, 2021",?,"Dentsu, Movic, YTV, Sony Music Entertainment, TOHO animation, Shueisha",Bones
Boruto: Naruto Next Generations,5.85,9079,204,"Action, Adventure, Super Power, Martial Arts, Shounen",Unknown,"Apr 5, 2017",?,"TV Tokyo, Aniplex, Rakuonsha, Shueisha",Studio Pierrot
